character,line,season,episode
Michael,All right Jim. Your quarterlies look very good. How are things at the library?,1,1
Jim,"Oh, I told you. I couldn't close it. So...",1,1
Michael,"So you've come to the master for guidance? Is this what you're saying, grasshopper?",1,1
Jim,"Actually, you called me in here, but yeah.",1,1
Michael,"All right. Well, let me show you how it's done.",1,1
Michael,"Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... So that's the way it's done.",1,1
Michael,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for... forever. Right, Pam?",1,1
Pam,Well. I don't know.,1,1
Michael,"If you think she's cute now, you should have seen her a couple of years ago.",1,1
Pam,What?,1,1
Michael,Any messages?,1,1
Pam,"Uh, yeah. Just a fax.",1,1
Michael,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",1,1
Pam,You haven't told me.,1,1
Michael,It's called the wastepaper basket! Look at that! Look at that face.,1,1
Michael,"People say I am the best boss. They go, ""God we've never worked in a place like this before. You're hilarious."" ""And you get the best out of us."" I think that pretty much sums it up. I found it at Spencer Gifts.",1,1
Dwight,Shall I play for you? Pa rum pump um pum I have no gifts for you. Pa rum pump um pum,1,1
Jim,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",1,1
Michael,Whassup!,1,1
Jim,Whassup! I still love that after seven years.,1,1
Michael,Whassup!,1,1
Dwight,Whassup!,1,1
Michael,Whass...up!,1,1
Dwight,Whassup.,1,1
Michael,What?,1,1
Jim,Nothing.,1,1
Michael,OK. All right. See you later.,1,1
Jim,All right. Take care.,1,1
Michael,Back to work.,1,1
Jan,Just before lunch. That would be great.,1,1
Michael,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. Jan, hello. I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",1,1
Jan,"Alright, was there anything you wanted to add to the agenda?",1,1
Michael,Um... Me no get an agenda.,1,1
Jan,What? I'm sorry?,1,1
Michael,I didn't get any agenda.,1,1
Jan,"Well, I faxed one over to you this morning.",1,1
Michael,Really? I didn't... Did we get a fax this morning?,1,1
Pam,"Uh, yeah, the one...",1,1
Michael,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",1,1
Pam,You put in the garbage can that was a special filing cabinet.,1,1
Michael,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",1,1
Jan,Do you want to look at mine?,1,1
Michael,"Yeah, yeah. Lovely. Thank you.",1,1
Jan,"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",1,1
Michael,OK...,1,1
Jan,"Michael, don't panic.",1,1
Michael,"No, no, no, no, this is good. This is good. This is fine. Excellent.",1,1
Jan,"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",1,1
Michael,All the alarm bells are kind of going... ringie-dingie-ding!,1,1
Jan,I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,1,1
Michael,OK. No problem.,1,1
Jan,"This does, however, mean that there is going to be downsizing.",1,1
Michael,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",1,1
Michael,"Question. How long do we have to... Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",1,1
Jan,Go ahead.,1,1
Michel,Packman.,1,1
Todd Packer,"Hey, you big queen.",1,1
Michael,"Oh, that's not appropriate.",1,1
Todd Packer,"Hey, is old Godzillary coming in today?",1,1
Michael,"Uh, I don't know what you mean.",1,1
Todd Packer,I've been meaning to ask her one question. Does the carpet match the drapes?,1,1
Michael,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",1,1
Jan,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,1,1
Michael,"No, absolutely. Under this regime, it will not leave this office. Like that.",1,1
Phyllis,So what does downsizing actually mean?,1,1
Stanley,Well...,1,1
Oscar,You guys better update your resumes just like I'm doing.,1,1
Angela,I bet it's gonna be me. Probably gonna be me.,1,1
Kevin,"Yeah, it'll be you.",1,1
Pam,I have an important question for you.,1,1
Jim,Yes?,1,1
Pam,Are you going to Angela's cat party on Sunday?,1,1
Jim,"Yeah, stop. That is ridiculous.",1,1
Michael,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",1,1
Michael,Hey.,1,1
Ryan,Hey.,1,1
Pam,This is Mr. Scott.,1,1
Michael,Guilty! Guilty as charged!,1,1
Ryan,Ryan Howard from the temp agency. Daniqua sent me down to start today.,1,1
Michael,"Howard, like Moe Howard. Three Stooges.",1,1
Ryan,Yup.,1,1
Michael,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. I'm Hitler. Adolf Hitler.",1,1
Pam,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",1,1
Pam,Dunder Mifflin. This is Pam.,1,1
Jim,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",1,1
Dwight,What?,1,1
Jim,What are you doing?,1,1
Dwight,Just clearing my desk. I can't concentrate.,1,1
Jim,It's not on your desk.,1,1
Dwight,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",1,1
Dwight,You can't do that.,1,1
Jim,Why not?,1,1
Dwight,Safety violation. I could fall and pierce an organ.,1,1
Jim,We'll see. This is why the whole downsizing thing just doesn't bother me.,1,1
Dwight,Downsizing?,1,1
Dwight,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",1,1
Pam,You just still have these messages from yesterday.,1,1
Michael,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it.",1,1
Pam,What?,1,1
Michael,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",1,1
Pam,Don't we all?,1,1
Michael,I'm sorry?,1,1
Pam,Nothing.,1,1
Michael,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional.",1,1
Michael,"I think I'm a role model here. I think I garner people's respect. Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",1,1
Michael,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",1,1
Michael,Now I know there's some rumors out there and I just kind of want to set the record straight.,1,1
Dwight,I'm Assistant Regional Manager. I should know first.,1,1
Michael,Assistant to the Regional Manager.,1,1
Dwight,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",1,1
Michael,I'm about to tell everybody. I'm just about to tell everybody.,1,1
Oscar,Can't you just tell us.,1,1
Dwight,"Please, OK? Do you want me to tell 'em?",1,1
Michael,You don't know what it is.,1,1
