line,season,episode,character
"What, um... what do you think of role-play?",3,21,Michael
Hey hey hey! It's Fat Halpert.,2,1,Michael
"Ok, everyone, as you know, one of my favorite things is fanfare for it's own sake. So, without further ado, let's start clapping! Presenting Deangelo Vickers!",7,19,Michael
"Well, then why are you wasting everybody else's time interrogating them?",1,3,Jim
There's an easy way to tell if this device is a sham. We just make a mistake. I'll send an order down to shipping before we've received payment.,8,6,Oscar
It was a setup. Dwight told Charles. He told him.,5,22,Michael
So did everybody ...,9,5,Pam
The most important one of the guys.,2,9,Dwight
"Jim, what are you doing?",4,14,Dwight
Seventeen. I say seventeen squares.,5,3,Michael
"Ah, he basically is man. He's a regular banking wizard.",4,11,Ryan
I am. You should come dance with us.,3,6,Pam
O...K.,8,10,Jim
I don't understand the point of a hat.,7,6,Darryl
"That's weird, if it's not locked, why isn't it opening?",8,8,Jim
"You know what? If we all stayed a couple of hours late tonight without Michael distracting us, we wouldn't have to come in at all tomorrow.",4,11,Jim
"It's good. It's just that I wish the puppets would talk more about the alphabet. Not for me... but, if any kids are watching... A, B, and so forth. You know,... M-N-L-O, P... F...",7,24,Kevin
"Well, I can make this work. I'll set it up right now. Just need your go ahead.",8,6,Dwight
What should we be working on while you guys are talking?,5,2,Dwight
It really was.,6,6,Pam
Stop talking 'bout it. I said I'm fine with it.,9,15,Darryl
"Oh, crap. Were those yours?",9,14,Jim
Andy! Andy! No! I would be very polite today.,9,3,Oscar
Luke? Luke!,7,1,Phyllis
I don't even know who you are anymore.,6,21,Jim
"No, the baby doesn't ruin anything, Kevin, OK? The baby multiplies the fun. Let's just do what you were going to do.",5,3,Michael
"I know! No, I'm saying that when I feel overwhelmed, something I like to do is make a list. Make a list of things to do and then start with the easy stuff.",5,20,Pam
"Put the ""q"" there! Sorry I yelled.",7,13,Oscar
I don't kn--,3,1,Michael
I think it'll take you a little longer than that.,5,10,Jim
"Huh, you think she is jealous about having a baby?",7,7,Jim
That's fun.,6,22,Michael
"OK, I get it. You're unhappy. I've been gone a long time and we lost a little bit of juju. But, you and me, we have a future. There is a lot of love here.",9,15,Andy
"Guys, we can’t let Dwight blow this. An account this size could double our growth. That means raises, bonuses... Pizza Friday could come back.",9,7,Phyllis
Ok.,3,3,Michael
"So I patched him with stuff from around the office. But I couldn’t get the pieces to fit right. Then one day, when I was reaching for the glue, I crushed his shell again. But I rebuilt him even better that time. But it turned out the turtle was already day. Probably when I ran over him the first time.",9,1,Kevin
"Watch this part, okay?",9,21,Dwight
Hello Aunt Shirley.,9,16,Angela
"Yeah, I might stop by.",6,2,Ryan
It is not irresponsible! I have never been more confident about a decision in my life.,7,7,Michael
That wasn't what you were saying to me. He was much more articulate and that was better. Much better.,6,10,Michael
"Okay, let's get personal for a second, shall we?",2,20,Michael
Hey! You're unstable!,3,23,Michael
I think we could.,6,21,Michael
"Ah, I know, everything really. I love it all. I love music.",1,6,Michael
We get you over to HR and then we get you set up with accounting. Hang on. Hello?,8,9,Andy
"Oh, and if he makes a joke, just laugh it up, no matter what. Okay?",6,23,Pam
Uh... that I have not decided yet.,3,8,Michael
You first.,3,2,Michael
"Oh, Roy.",1,1,Jim
You should get one of these.,2,8,Dwight
That was a different guy. That was Jesus. Jesus sort of ruined the party. Hurt petulant Jesus.,6,12,Michael
"If everybody... could do it? ""Meredith is so old...""",1,4,Michael
